day,fill_rate,median_price,open_tasks,agents_in_debt,total_debt_cc,total_credit_cc,settled_cc_cum
0,1.0000,1.0000,0,0,0,1853.0000,8.0000
1,1.0000,1.0000,0,0,0,1914.7667,24.0000
2,0.7778,0.6778,10,7,30.2995,1978.3608,68.0995
3,0.8556,0.7206,3,11,68.9339,2027.2419,121.8539
4,0.8654,0.7563,8,15,111.0061,2061.6976,179.4281
5,0.8439,0.6928,9,17,120.3002,2125.2299,216.0605
6,0.8702,0.7497,4,24,169.5845,2156.8602,297.0014
7,0.8721,0.7089,13,29,173.1302,2212.1045,365.4674
8,0.9031,0.7566,4,35,208.1166,2257.1593,431.4692
9,0.9123,0.7756,13,39,253.2159,2293.1618,506.2691
10,0.9255,0.7821,2,42,313.9661,2351.6884,593.8178
11,0.9305,0.7302,5,45,349.5951,2392.2129,666.4698
12,0.9372,0.7761,2,51,403.0205,2424.6181,756.0303
13,0.9313,0.7918,15,55,451.4063,2490.1596,833.8175
14,0.9315,0.7078,12,57,474.4440,2529.6627,905.2431
15,0.9344,0.7718,7,62,509.7131,2572.2901,974.8606
16,0.9360,0.7467,12,65,558.3713,2619.4411,1094.3358
17,0.9385,0.6961,5,71,567.2504,2642.2970,1179.6329
18,0.9389,0.7922,11,71,633.1455,2669.4113,1270.1691
19,0.9396,0.7894,10,76,680.0255,2733.4962,1347.3003
20,0.9362,0.7448,21,80,734.6633,2797.3333,1484.9909
21,0.9375,0.8211,4,81,772.3998,2848.6725,1547.2792
22,0.9372,0.6680,7,83,778.8266,2891.6426,1595.4025
23,0.9382,0.7092,2,83,784.8869,2941.4327,1642.7393
24,0.9375,0.6772,8,88,792.3928,2949.9062,1704.6069
25,0.9378,0.6855,7,89,799.7738,3006.8477,1770.0797
26,0.9369,0.6922,1,90,801.4153,3032.6987,1807.6785
27,0.9329,0.7141,33,95,802.2572,3061.5390,1922.4325
28,0.9333,0.7004,14,98,812.8369,3119.4899,2046.0636
29,0.9347,0.7139,2,99,814.8922,3147.1130,2098.5765
